Data;poziom wody w piezometrze B1 npm [cm];temperatura wody w piezometrze B1 [C]
2011-09-25;122.42;12.27
2011-09-26;120.42;12.27
2011-09-27;118.67;12.27
2011-09-28;117.92;12.27
2011-09-29;117.42;12.27
2011-09-30;116.75;12.27
2011-10-01;115.67;12.27
2011-10-02;114.67;12.26
2011-10-03;114.83;12.26
2011-10-04;114.08;12.25
2011-10-05;113.83;12.25
2011-10-06;114.67;12.25
2011-10-07;114.17;12.25
2011-10-08;115.17;12.25
2011-10-09;117.25;12.25
2011-10-10;120.08;12.25
2011-10-11;120.50;12.25
2011-10-12;121.25;12.25
2011-10-13;122.00;12.24
2011-10-14;123.75;12.23
2011-10-15;125.67;12.22
2011-10-16;124.50;12.21
2011-10-17;122.50;12.19
2011-10-18;120.67;12.18
2011-10-19;117.92;12.16
2011-10-20;116.50;12.14
2011-10-21;116.75;12.11
2011-10-22;118.08;12.08
2011-10-23;118.17;12.04
2011-10-24;117.17;11.96
2011-10-25;116.00;11.90
2011-10-26;115.58;11.84
2011-10-27;115.08;11.79
2011-10-28;114.92;11.75
2011-10-29;114.08;11.72
2011-10-30;113.92;11.71
2011-10-31;113.42;11.69
2011-11-01;112.92;11.67
2011-11-02;112.42;11.66
2011-11-03;111.42;11.63
2011-11-04;110.92;11.62
2011-11-05;110.33;11.57
2011-11-06;109.42;11.52
2011-11-07;108.33;11.48
2011-11-08;107.92;11.43
2011-11-09;107.08;11.37
2011-11-10;106.00;11.32
2011-11-11;105.58;11.30
2011-11-12;104.92;11.26
2011-11-13;104.17;11.19
2011-11-14;103.42;11.12
2011-11-15;102.00;11.04
2011-11-16;101.50;10.98
2011-11-17;101.33;10.92
2011-11-18;100.33;10.87
2011-11-19;99.50;10.82
2011-11-20;99.17;10.76
2011-11-21;99.33;10.72
2011-11-22;98.58;10.68
2011-11-23;98.00;10.66
2011-11-24;97.42;10.62
2011-11-25;96.92;10.59
2011-11-26;96.50;10.54
2011-11-27;97.75;10.52
2011-11-28;98.00;10.50
2011-11-29;102.25;10.45
2011-11-30;103.17;10.44
2011-12-01;103.83;10.39
2011-12-02;103.92;10.32
2011-12-03;104.75;10.29
2011-12-04;105.92;10.25
2011-12-05;106.50;10.22
2011-12-06;107.33;10.18
2011-12-07;109.08;10.10
2011-12-08;110.17;10.01
2011-12-09;111.42;9.94
2011-12-10;111.50;9.86
2011-12-11;112.92;9.81
2011-12-12;115.58;9.74
2011-12-13;115.42;9.67
2011-12-14;115.75;9.61
2011-12-15;115.08;9.55
2011-12-16;116.67;9.51
2011-12-17;115.67;9.48
2011-12-18;117.67;9.45
2011-12-19;119.92;9.39
2011-12-20;121.83;9.33
2011-12-21;122.08;9.24
2011-12-22;121.17;9.15
2011-12-23;120.33;9.08
2011-12-24;118.17;9.06
2011-12-25;117.33;9.01
2011-12-26;117.00;8.96
2011-12-27;117.42;8.94
2011-12-28;119.42;8.97
2011-12-29;120.17;8.95
2011-12-30;118.92;8.98
2011-12-31;119.17;8.97
2012-01-01;120.17;8.92
2012-01-02;119.58;8.85
2012-01-03;119.92;8.84
2012-01-04;119.83;8.84
2012-01-05;122.58;8.83
2012-01-06;121.83;8.78
2012-01-07;126.17;8.77
2012-01-08;127.75;8.72
2012-01-09;129.58;8.65
2012-01-10;130.00;8.62
2012-01-11;130.42;8.59
2012-01-12;131.33;8.56
2012-01-13;131.75;8.52
2012-01-14;134.83;8.52
2012-01-15;142.75;8.44
2012-01-16;146.33;8.38
2012-01-17;144.42;8.23
2012-01-18;142.00;8.25
2012-01-19;140.67;8.22
2012-01-20;138.17;8.18
2012-01-21;137.33;8.15
2012-01-22;136.25;8.16
2012-01-23;136.50;8.08
2012-01-24;138.58;8.09
2012-01-25;138.25;8.05
2012-01-26;136.75;8.04
2012-01-27;135.75;8.03
2012-01-28;134.50;7.96
2012-01-29;132.42;7.87
2012-01-30;131.00;7.85
2012-01-31;129.17;7.77
2012-02-01;127.67;7.81
2012-02-02;125.83;7.68
2012-02-03;124.25;7.64
2012-02-04;122.42;7.62
2012-02-05;121.50;7.57
2012-02-06;120.33;7.60
2012-02-07;118.17;7.58
2012-02-08;116.58;7.54
2012-02-09;114.08;7.52
2012-02-10;113.08;7.48
2012-02-11;112.42;7.45
2012-02-12;111.17;7.44
2012-02-13;109.08;7.41
2012-02-14;108.83;7.37
2012-02-15;106.92;7.33
2012-02-16;106.00;7.33
2012-02-17;105.67;7.32
2012-02-18;104.75;7.27
2012-02-19;104.25;7.27
2012-02-20;103.42;7.19
2012-02-21;104.33;7.15
2012-02-22;104.50;7.16
2012-02-23;106.92;7.07
2012-02-24;110.33;7.09
2012-02-25;112.75;7.16
2012-02-26;114.50;7.12
2012-02-27;117.17;7.15
2012-02-28;118.75;7.16
2012-02-29;118.42;7.10
2012-03-01;119.25;7.09
2012-03-02;118.83;7.08
2012-03-03;119.42;7.13
2012-03-04;120.17;7.09
2012-03-05;120.25;7.08
2012-03-06;119.42;7.06
2012-03-07;119.25;7.01
2012-03-08;117.17;7.03
2012-03-09;115.25;6.99
2012-03-10;114.67;6.99
2012-03-11;113.33;6.99
2012-03-12;113.67;6.97
2012-03-13;113.75;6.95
2012-03-14;113.25;7.05
2012-03-15;113.00;7.12
2012-03-16;113.00;7.14
2012-03-17;111.17;7.14
2012-03-18;110.17;7.14
2012-03-19;108.58;7.13
2012-03-20;108.58;7.13
2012-03-21;109.17;7.13
2012-03-22;110.08;7.13
2012-03-23;109.67;7.13
2012-03-24;108.92;7.13
2012-03-25;107.08;7.14
2012-03-26;107.75;7.15
2012-03-27;108.00;7.15
2012-03-28;108.17;7.15
2012-03-29;107.92;7.17
2012-03-30;108.25;7.17
2012-03-31;108.17;7.18
2012-04-01;111.33;7.19
2012-04-02;113.83;7.20
2012-04-03;115.08;7.21
2012-04-04;115.25;7.22
2012-04-05;115.42;7.22
2012-04-06;114.92;7.23
2012-04-07;113.67;7.23
2012-04-08;115.17;7.24
2012-04-09;118.92;7.25
2012-04-10;119.67;7.24
2012-04-11;118.58;7.24
2012-04-12;116.42;7.24
2012-04-13;114.83;7.24
2012-04-14;113.00;7.24
2012-04-15;111.42;7.24
2012-04-16;110.75;7.24
2012-04-17;110.42;7.26
2012-04-18;109.92;7.26
2012-04-19;109.17;7.28
2012-04-20;108.17;7.29
2012-04-21;107.17;7.30
2012-04-22;106.42;7.31
2012-04-23;105.75;7.33
2012-04-24;105.50;7.34
2012-04-25;104.42;7.35
2012-04-26;103.33;7.37
2012-04-27;102.25;7.39
2012-04-28;102.50;7.40
2012-04-29;101.67;7.42
2012-04-30;100.58;7.44
2012-05-01;100.25;7.47
2012-05-02;100.00;7.50
2012-05-03;99.50;7.53
2012-05-04;98.58;7.56
2012-05-05;97.17;7.59
2012-05-06;96.83;7.63
2012-05-07;95.17;7.67
2012-05-08;95.00;7.70
2012-05-09;94.17;7.74
2012-05-10;93.33;7.77
2012-05-11;92.67;7.80
2012-05-12;91.58;7.84
2012-05-13;91.67;7.87
2012-05-14;92.67;7.90
2012-05-15;92.58;7.93
2012-05-16;90.58;7.97
2012-05-17;90.42;8.01
2012-05-18;90.67;8.05
2012-05-19;90.92;8.10
2012-05-20;90.42;8.14
2012-05-21;89.83;8.18
2012-05-22;89.92;8.21
2012-05-23;89.42;8.25
2012-05-24;90.42;8.30
2012-05-25;90.33;8.34
2012-05-26;89.50;8.39
2012-05-27;88.50;8.44
2012-05-28;88.33;8.49
2012-05-29;87.75;8.54
2012-05-30;87.67;8.59
2012-05-31;87.17;8.65
2012-06-01;87.25;8.69
2012-06-02;86.58;8.74
2012-06-03;88.08;8.79
2012-06-04;88.08;8.84
2012-06-05;86.92;8.89
2012-06-06;86.33;8.93
2012-06-07;85.75;8.97
2012-06-08;85.25;9.01
2012-06-09;84.75;9.05
2012-06-10;84.83;9.08
2012-06-11;84.08;9.12
2012-06-12;83.25;9.15
2012-06-13;82.25;9.19
2012-06-14;81.67;9.22
2012-06-15;81.58;9.26
2012-06-16;81.17;9.30
2012-06-17;79.75;9.33
2012-06-18;79.83;9.37
2012-06-19;78.92;9.42
2012-06-20;80.08;9.46
2012-06-21;79.67;9.50
2012-06-22;79.17;9.54
2012-06-23;78.83;9.59
2012-06-24;80.00;9.63
2012-06-25;78.83;9.68
2012-06-26;79.58;9.72
2012-06-27;82.92;9.77
2012-06-28;84.83;9.82
2012-06-29;86.00;9.87
2012-06-30;85.75;9.91
2012-07-01;84.83;9.95
2012-07-02;83.33;9.99
2012-07-03;83.33;10.03
2012-07-04;81.75;10.06
2012-07-05;81.08;10.10
2012-07-06;80.50;10.14
2012-07-07;81.58;10.22
2012-07-08;90.42;10.28
2012-07-09;93.58;10.32
2012-07-10;94.92;10.36
2012-07-11;94.75;10.41
2012-07-12;93.67;10.45
2012-07-13;93.58;10.50
2012-07-14;94.67;10.54
2012-07-15;94.17;10.58
2012-07-16;95.92;10.63
2012-07-17;97.58;10.67
2012-07-18;98.75;10.71
2012-07-19;100.33;10.75
2012-07-20;101.67;10.80
2012-07-21;106.83;10.84
2012-07-22;109.83;10.87
2012-07-23;111.67;10.90
2012-07-24;111.25;10.93
2012-07-25;110.58;10.96
2012-07-26;109.17;10.98
2012-07-27;108.67;11.05
2012-07-28;108.67;11.03
2012-07-29;106.92;11.05
2012-07-30;106.67;11.08
2012-07-31;107.17;11.11
2012-08-01;106.67;11.15
2012-08-02;106.25;11.19
2012-08-03;105.25;11.23
2012-08-04;104.50;11.26
2012-08-05;104.00;11.30
2012-08-06;103.33;11.34
2012-08-07;103.25;11.38
2012-08-08;105.25;11.42
2012-08-09;109.00;11.46
2012-08-10;110.67;11.49
2012-08-11;112.42;11.53
2012-08-12;112.75;11.56
2012-08-13;111.17;11.60
2012-08-14;109.50;11.63
2012-08-15;108.83;11.66
2012-08-16;108.33;11.68
2012-08-17;106.67;11.71
2012-08-18;104.42;11.73
2012-08-19;102.58;11.76
2012-08-20;100.92;11.78
2012-08-21;99.00;11.81
2012-08-22;99.08;11.84
2012-08-23;98.33;11.86
2012-08-24;98.00;11.89
2012-08-25;97.33;11.92
2012-08-26;97.00;11.96
2012-08-27;95.83;11.99
2012-08-28;99.58;12.02
2012-08-29;101.75;12.05
2012-08-30;102.08;12.08
2012-08-31;100.75;12.11
2012-09-01;105.25;12.14
2012-09-02;110.33;12.17
2012-09-03;111.67;12.18
2012-09-04;111.83;12.20
2012-09-05;110.50;12.24
2012-09-06;110.75;12.23
2012-09-07;112.33;12.25
2012-09-08;113.42;12.26
2012-09-09;115.25;12.27
2012-09-10;115.75;12.29
2012-09-11;114.50;12.31
2012-09-12;113.08;12.32
2012-09-13;113.25;12.33
2012-09-14;114.17;12.35
2012-09-15;113.92;12.35
2012-09-16;115.92;12.37
2012-09-17;117.00;12.37
2012-09-18;117.00;12.39
2012-09-19;116.17;12.39
2012-09-20;117.00;12.39
2012-09-21;116.75;12.39
2012-09-22;117.25;12.39
2012-09-23;117.00;12.39
2012-09-24;118.67;12.39
2012-09-25;120.17;12.39
2012-09-26;120.25;12.39
2012-09-27;119.33;12.38
2012-09-28;117.67;12.37
2012-09-29;117.42;12.36
2012-09-30;117.25;12.35
2012-10-01;117.75;12.34
2012-10-02;117.42;12.33
2012-10-03;116.50;12.32
2012-10-04;115.00;12.31
2012-10-05;115.17;12.29
2012-10-06;117.17;12.28
2012-10-07;120.75;12.27
2012-10-08;122.00;12.25
2012-10-09;125.00;12.23
2012-10-10;127.17;12.22
2012-10-11;129.92;12.20
2012-10-12;130.75;12.18
2012-10-13;130.33;12.16
2012-10-14;130.25;12.13
2012-10-15;129.00;12.10
2012-10-16;127.33;12.07
2012-10-17;126.00;12.04
2012-10-18;124.25;12.01
2012-10-19;122.58;11.98
2012-10-20;120.58;11.94
2012-10-21;119.25;11.91
2012-10-22;117.33;11.88
2012-10-23;115.67;11.86
2012-10-24;115.25;11.83
2012-10-25;114.42;11.81
2012-10-26;115.42;11.78
2012-10-27;119.00;11.76
2012-10-28;118.67;11.73
2012-10-29;116.67;11.71
2012-10-30;114.58;11.67
2012-10-31;113.17;11.58
2012-11-01;112.17;11.39
2012-11-02;110.83;11.23
2012-11-03;109.67;11.18
2012-11-04;109.42;11.18
2012-11-05;109.17;11.15
2012-11-06;109.75;11.09
2012-11-07;113.33;11.03
2012-11-08;117.08;10.96
2012-11-09;120.33;10.91
2012-11-10;122.50;10.88
2012-11-11;122.33;10.86
2012-11-12;119.92;10.84
2012-11-13;118.50;10.82
2012-11-14;118.25;10.80
2012-11-15;116.83;10.76
2012-11-16;115.42;10.72
2012-11-17;114.42;10.68
2012-11-18;113.33;10.63
2012-11-19;111.25;10.60
2012-11-20;110.25;10.56
2012-11-21;109.08;10.52
2012-11-22;107.50;10.48
2012-11-23;106.42;10.45
2012-11-24;105.50;10.42
2012-11-25;104.83;10.39
2012-11-26;103.33;10.36
2012-11-27;103.42;10.33
2012-11-28;102.58;10.30
2012-11-29;102.75;10.27
2012-11-30;103.50;10.25
2012-12-01;108.58;10.16
2012-12-02;110.33;10.08
2012-12-03;110.33;10.04
2012-12-04;110.33;9.94
2012-12-05;108.58;9.87
2012-12-06;107.92;9.81
2012-12-07;107.08;9.74
2012-12-08;106.08;9.67
2012-12-09;106.25;9.60
2012-12-10;105.17;9.54
2012-12-11;104.00;9.48
2012-12-12;105.75;9.41
2012-12-13;107.08;9.36
2012-12-14;105.92;9.31
2012-12-15;104.33;9.24
2012-12-16;102.08;9.20
2012-12-17;101.17;9.15
2012-12-18;100.42;9.08
2012-12-19;100.08;9.02
2012-12-20;100.42;8.99
2012-12-21;100.25;8.96
2012-12-22;99.83;8.91
2012-12-23;99.67;8.88
2012-12-24;99.08;8.82
2012-12-25;98.50;8.77
2012-12-26;98.08;8.70
2012-12-27;99.67;8.68
2012-12-28;100.67;8.63
2012-12-29;103.58;8.63
2012-12-30;104.50;8.56
2012-12-31;104.83;8.52
2013-01-01;105.08;8.50
2013-01-02;104.83;8.49
2013-01-03;105.58;8.51
2013-01-04;106.58;8.52
2013-01-05;108.58;8.50
2013-01-06;110.58;8.49
2013-01-07;111.50;8.44
2013-01-08;111.92;8.39
2013-01-09;110.92;8.36
2013-01-10;111.17;8.32
2013-01-11;114.25;8.26
2013-01-12;118.42;8.21
2013-01-13;121.17;8.16
2013-01-14;121.25;8.09
2013-01-15;120.08;8.07
2013-01-16;118.75;8.04
2013-01-17;117.25;7.99
2013-01-18;116.42;7.96
2013-01-19;116.17;7.93
2013-01-20;115.08;7.92
2013-01-21;113.83;7.89
2013-01-22;113.25;7.89
2013-01-23;112.00;7.85
2013-01-24;110.83;7.84
2013-01-25;109.00;7.84
2013-01-26;108.00;7.80
2013-01-27;107.25;7.79
2013-01-28;105.83;7.74
2013-01-29;104.25;7.71
2013-01-30;102.75;7.69
2013-01-31;102.83;7.66
2013-02-01;105.00;7.60
2013-02-02;107.00;7.60
2013-02-03;107.25;7.55
2013-02-04;107.83;7.52
2013-02-05;108.50;7.52
2013-02-06;108.92;7.50
2013-02-07;109.67;7.48
2013-02-08;110.50;7.46
2013-02-09;111.58;7.46
2013-02-10;112.75;7.44
2013-02-11;113.17;7.40
2013-02-12;112.75;7.37
2013-02-13;111.75;7.35
2013-02-14;110.92;7.33
2013-02-15;110.00;7.28
2013-02-16;108.75;7.27
2013-02-17;106.92;7.26
2013-02-18;105.75;7.23
2013-02-19;105.83;7.22
2013-02-20;107.92;7.17
2013-02-21;111.42;7.17
2013-02-22;111.50;7.12
2013-02-23;111.75;7.07
2013-02-24;111.42;6.97
2013-02-25;110.00;6.95
2013-02-26;109.00;7.03
2013-02-27;107.83;7.03
2013-02-28;107.50;7.00
2013-03-01;107.17;6.99
2013-03-02;108.25;6.97
2013-03-03;109.00;6.94
2013-03-04;110.33;6.93
2013-03-05;110.42;6.92
2013-03-06;109.17;6.90
2013-03-07;107.17;6.89
2013-03-08;107.17;6.88
2013-03-09;106.33;6.87
2013-03-10;106.00;6.85
2013-03-11;106.17;6.83
2013-03-12;105.33;6.81
2013-03-13;104.50;6.79
2013-03-14;103.50;6.79
2013-03-15;102.50;6.76
2013-03-16;101.17;6.75
2013-03-17;100.92;6.72
2013-03-18;99.83;6.71
2013-03-19;99.58;6.69
2013-03-20;98.58;6.67
2013-03-21;98.42;6.65
2013-03-22;98.08;6.63
2013-03-23;97.42;6.61
2013-03-24;97.08;6.59
2013-03-25;96.58;6.55
2013-03-26;95.50;6.56
2013-03-27;94.33;6.56
2013-03-28;93.92;6.61
2013-03-29;92.33;6.59
2013-03-30;91.42;6.59
2013-03-31;90.83;6.58
2013-04-01;90.08;6.57
2013-04-02;89.50;6.55
2013-04-03;89.83;6.53
2013-04-04;89.42;6.52
2013-04-05;88.67;6.51
2013-04-06;88.33;6.50
2013-04-07;87.92;6.48
2013-04-08;87.58;6.48
2013-04-09;87.42;6.47
2013-04-10;87.08;6.46
2013-04-11;86.83;6.46
2013-04-12;85.83;6.46
2013-04-13;85.25;6.45
2013-04-14;85.08;6.45
2013-04-15;84.83;6.45
2013-04-16;84.25;6.45
2013-04-17;84.25;6.46
2013-04-18;83.92;6.47
2013-04-19;83.75;6.48
2013-04-20;83.25;6.50
2013-04-21;84.42;6.51
2013-04-22;84.50;6.53
2013-04-23;84.25;6.55
2013-04-24;83.58;6.58
2013-04-25;83.50;6.61
2013-04-26;84.67;6.64
2013-04-27;84.50;6.67
2013-04-28;84.58;6.71
2013-04-29;84.58;6.74
2013-04-30;83.58;6.78
2013-05-01;83.58;6.81
2013-05-02;84.08;6.85
2013-05-03;83.58;6.88
2013-05-04;83.58;6.91
2013-05-05;82.58;6.94
2013-05-06;82.75;6.97
2013-05-07;82.75;7.00
2013-05-08;82.67;7.03
2013-05-09;83.33;7.07
2013-05-10;83.08;7.10
2013-05-11;82.17;7.14
2013-05-12;81.75;7.18
2013-05-13;81.42;7.22
2013-05-14;80.50;7.27
2013-05-15;80.42;7.32
2013-05-16;80.08;7.37
2013-05-17;80.42;7.42
2013-05-18;80.75;7.47
2013-05-19;80.50;7.52
2013-05-20;80.50;7.58
2013-05-21;80.92;7.64
2013-05-22;82.17;7.70
2013-05-23;83.17;7.77
2013-05-24;84.00;7.83
2013-05-25;85.67;7.90
2013-05-26;87.33;7.96
2013-05-27;90.25;8.03
2013-05-28;92.00;8.09
2013-05-29;92.83;8.15
2013-05-30;93.00;8.21
2013-05-31;92.50;8.25
2013-06-01;92.33;8.30
2013-06-02;91.92;8.35
2013-06-03;91.75;8.39
2013-06-04;91.75;8.44
2013-06-05;92.67;8.49
2013-06-06;93.33;8.54
2013-06-07;92.25;8.59
2013-06-08;90.58;8.64
2013-06-09;89.58;8.68
2013-06-10;88.67;8.73
2013-06-11;88.17;8.77
2013-06-12;86.83;8.83
2013-06-13;86.42;8.88
2013-06-14;85.50;8.93
2013-06-15;85.25;8.98
2013-06-16;84.17;9.04
2013-06-17;83.25;9.09
2013-06-18;83.58;9.15
2013-06-19;83.00;9.21
2013-06-20;81.83;9.26
2013-06-21;81.42;9.32
2013-06-22;80.92;9.37
2013-06-23;80.67;9.42
2013-06-24;79.58;9.48
2013-06-25;79.33;9.53
2013-06-26;80.50;9.59
2013-06-27;82.75;9.65
2013-06-28;83.75;9.71
2013-06-29;83.33;9.77
2013-06-30;81.67;9.84
2013-07-01;83.50;9.90
2013-07-02;86.50;9.96
2013-07-03;87.25;10.02
2013-07-04;87.33;10.07
2013-07-05;87.50;10.12
2013-07-06;87.00;10.16
2013-07-07;87.33;10.20
2013-07-08;85.75;10.24
2013-07-09;85.83;10.28
2013-07-10;86.33;10.32
2013-07-11;86.92;10.36
2013-07-12;88.25;10.41
2013-07-13;89.42;10.45
2013-07-14;89.75;10.50
2013-07-15;89.67;10.55
2013-07-16;89.25;10.60
2013-07-17;87.92;10.65
2013-07-18;87.25;10.70
2013-07-19;86.42;10.74
2013-07-20;87.00;10.79
2013-07-21;87.83;10.83
2013-07-22;87.33;10.88
2013-07-23;87.00;10.92
2013-07-24;88.33;10.97
2013-07-25;88.33;11.01
2013-07-26;86.67;11.05
2013-07-27;85.50;11.10
2013-07-28;83.08;11.14
2013-07-29;81.25;11.18
2013-07-30;80.67;11.22
2013-07-31;81.17;11.27
2013-08-01;78.92;11.31
2013-08-02;78.25;11.35
2013-08-03;77.67;11.39
2013-08-04;77.00;11.43
2013-08-05;77.00;11.47
2013-08-06;76.17;11.51
2013-08-07;75.33;11.55
2013-08-08;74.83;11.59
2013-08-09;73.67;11.63
2013-08-10;74.08;11.67
2013-08-11;74.17;11.71
2013-08-12;75.17;11.75
2013-08-13;76.00;11.79
2013-08-14;77.50;11.84
2013-08-15;83.83;11.89
2013-08-16;87.42;11.95
2013-08-17;87.50;11.98
2013-08-18;86.58;12.01
2013-08-19;85.08;12.03
2013-08-20;83.92;12.05
2013-08-21;83.42;12.07
2013-08-22;83.00;12.09
2013-08-23;82.50;12.11
2013-08-24;82.67;12.13
2013-08-25;81.50;12.15
2013-08-26;80.17;12.17
2013-08-27;78.17;12.19
2013-08-28;77.08;12.20
2013-08-29;75.83;12.22
2013-08-30;75.25;12.24
2013-08-31;74.17;12.25
2013-09-01;74.58;12.27
2013-09-02;77.08;12.29
2013-09-03;81.67;12.31
2013-09-04;85.92;12.33
2013-09-05;87.00;12.35
2013-09-06;86.58;12.37
2013-09-07;85.00;12.38
2013-09-08;82.67;12.39
2013-09-09;82.00;12.40
2013-09-10;80.92;12.40
2013-09-11;79.83;12.41
2013-09-12;79.17;12.41
2013-09-13;82.50;12.42
2013-09-14;90.92;12.44
2013-09-15;93.58;12.44
2013-09-16;94.42;12.44
2013-09-17;93.42;12.44
2013-09-18;93.08;12.44
2013-09-19;92.33;12.44
2013-09-20;92.25;12.43
2013-09-21;91.83;12.43
2013-09-22;92.42;12.43
2013-09-23;92.42;12.43
2013-09-24;94.08;12.42
2013-09-25;95.67;12.41
2013-09-26;96.92;12.40
2013-09-27;97.33;12.39
2013-09-28;97.75;12.39
2013-09-29;97.75;12.38
2013-09-30;96.58;12.37
2013-10-01;94.92;12.36
2013-10-02;92.58;12.35
2013-10-03;90.75;12.33
2013-10-04;88.75;12.31
2013-10-05;86.75;12.29
2013-10-06;84.58;12.27
2013-10-07;82.50;12.24
2013-10-08;80.83;12.21
2013-10-09;79.75;12.18
2013-10-10;78.58;12.15
2013-10-11;77.83;12.12
2013-10-12;77.58;12.09
2013-10-13;77.42;12.06
2013-10-14;76.25;12.03
2013-10-15;76.00;12.01
2013-10-16;75.25;11.98
2013-10-17;73.75;11.96
2013-10-18;73.50;11.94
2013-10-19;75.42;11.92
2013-10-20;77.42;11.90
2013-10-21;77.42;11.88
2013-10-22;77.75;11.86
2013-10-23;77.67;11.84
2013-10-24;76.00;11.81
2013-10-25;74.42;11.79
2013-10-26;73.58;11.76
2013-10-27;72.92;11.74
2013-10-28;73.08;11.72
2013-10-29;74.17;11.70
2013-10-30;74.83;11.68
2013-10-31;76.33;11.67
2013-11-01;78.33;11.65
2013-11-02;79.25;11.63
2013-11-03;80.50;11.62
2013-11-04;81.92;11.60
2013-11-05;84.17;11.58
2013-11-06;85.67;11.56
2013-11-07;87.33;11.53
2013-11-08;87.42;11.51
2013-11-09;87.75;11.48
2013-11-10;88.17;11.45
2013-11-11;89.83;11.42
2013-11-12;90.58;11.39
2013-11-13;90.42;11.35
2013-11-14;91.17;11.31
2013-11-15;91.92;11.27
2013-11-16;90.50;11.22
2013-11-17;91.83;11.16
2013-11-18;91.50;11.05
2013-11-19;91.08;10.95
2013-11-20;89.50;10.86
2013-11-21;90.25;10.83
2013-11-22;91.08;10.79
2013-11-23;91.17;10.75
2013-11-24;91.08;10.73
2013-11-25;92.67;10.71
2013-11-26;94.42;10.66
2013-11-27;95.17;10.60
2013-11-28;95.17;10.54
2013-11-29;96.42;10.50
2013-11-30;98.25;10.46
2013-12-01;97.42;10.42
2013-12-02;99.08;10.36
2013-12-03;100.50;10.31
2013-12-04;99.17;10.24
2013-12-05;98.50;10.21
2013-12-06;101.58;10.13
2013-12-07;107.83;10.05
2013-12-08;113.08;9.96
2013-12-09;113.25;9.84
2013-12-10;110.75;9.75
2013-12-11;107.33;9.69
2013-12-12;103.42;9.66
2013-12-13;101.75;9.64
2013-12-14;100.67;9.62
2013-12-15;99.42;9.59
2013-12-16;97.83;9.60
2013-12-17;96.33;9.56
2013-12-18;95.25;9.56
2013-12-19;94.75;9.54
2013-12-20;93.25;9.57
2013-12-21;92.08;9.51
2013-12-22;91.83;9.46
2013-12-23;91.25;9.45
2013-12-24;91.17;9.42
2013-12-25;90.17;9.49
2013-12-26;89.92;9.45
2013-12-27;90.08;9.44
2013-12-28;89.33;9.42
2013-12-29;88.42;9.40
2013-12-30;88.08;9.36
2013-12-31;87.83;9.35
2014-01-01;86.75;9.33
2014-01-02;85.50;9.29
2014-01-03;84.67;9.22
2014-01-04;83.50;9.18
2014-01-05;83.08;9.14
2014-01-06;82.42;9.12
2014-01-07;82.17;9.07
2014-01-08;81.33;9.04
2014-01-09;81.67;9.06
2014-01-10;84.67;9.02
2014-01-11;91.92;8.98
2014-01-12;96.58;8.96
2014-01-13;100.75;8.94
2014-01-14;102.58;8.86
2014-01-15;101.75;8.79
2014-01-16;99.92;8.76
2014-01-17;98.08;8.71
2014-01-18;96.92;8.70
2014-01-19;94.92;8.67
2014-01-20;93.33;8.57
2014-01-21;92.25;8.58
2014-01-22;90.83;8.49
2014-01-23;89.83;8.33
2014-01-24;88.33;8.28
2014-01-25;86.75;8.23
2014-01-26;85.00;8.18
2014-01-27;83.50;8.12
2014-01-28;82.08;8.07
2014-01-29;80.92;8.03
2014-01-30;79.50;7.98
2014-01-31;78.00;7.94
2014-02-01;76.58;8.00
2014-02-02;75.75;7.96
2014-02-03;74.58;7.90
2014-02-04;73.50;7.87
2014-02-05;73.00;7.83
2014-02-06;72.33;7.81
2014-02-07;71.08;7.74
2014-02-08;71.08;7.79
2014-02-09;70.67;7.88
2014-02-10;70.42;7.82
2014-02-11;69.58;7.85
2014-02-12;68.92;7.88
2014-02-13;68.75;7.88
2014-02-14;68.42;7.85
2014-02-15;67.50;7.83
2014-02-16;67.25;7.80
2014-02-17;67.25;7.79
2014-02-18;67.33;7.79
2014-02-19;67.67;7.74
2014-02-20;68.17;7.70
2014-02-21;68.33;7.69
2014-02-22;67.83;7.70
2014-02-23;67.17;7.69
2014-02-24;66.17;7.69
2014-02-25;66.00;7.70
2014-02-26;65.50;7.68
2014-02-27;66.00;7.67
2014-02-28;66.83;7.68
2014-03-01;66.83;7.73
2014-03-02;66.67;7.80
2014-03-03;66.00;7.77
2014-03-04;65.83;7.65
2014-03-05;65.00;7.59
2014-03-06;64.33;7.59
2014-03-07;63.25;7.60
2014-03-08;62.67;7.61
2014-03-09;61.83;7.62
2014-03-10;61.58;7.62
2014-03-11;61.50;7.63
2014-03-12;61.42;7.63
2014-03-13;60.92;7.61
2014-03-14;61.17;7.60
2014-03-15;62.08;7.60
2014-03-16;67.50;7.60
2014-03-17;71.00;7.60
2014-03-18;72.50;7.61
2014-03-19;73.17;7.62
2014-03-20;73.50;7.64
2014-03-21;73.25;7.65
2014-03-22;71.50;7.65
2014-03-23;71.08;7.67
2014-03-24;70.00;7.67
2014-03-25;70.50;7.70
2014-03-26;75.17;7.72
2014-03-27;76.33;7.75
2014-03-28;77.17;7.76
2014-03-29;76.75;7.76
2014-03-30;75.50;7.77
2014-03-31;73.58;7.77
2014-04-01;71.58;7.77
2014-04-02;69.58;7.77
2014-04-03;68.00;7.77
2014-04-04;66.67;7.78
2014-04-05;65.42;7.78
2014-04-06;64.33;7.78
2014-04-07;62.67;7.78
2014-04-08;61.75;7.79
2014-04-09;60.92;7.80
2014-04-10;64.83;7.81
2014-04-11;66.58;7.82
